RESEARCH OPPUTUNITY,DEADLINE,DESCRIPTION,READ MORE
URAF Conference Funding,Applications are accepted via CARAT on a rolling basis.,"OverviewThe URAF conference funding program supports Harvard College undergraduate students in presenting their original, independent research (poster or paper) at an academic conference. Awards are available year-round with a rolling deadline to apply for funding. Undergraduate students from all concentrations are encouraged to apply.... Read more  about URAF Conference Funding",https://uraf.harvard.edu/uraf-opportunities/uraf-conference-funding
Mellon Mays Undergraduate Fellowship,"AY22 Deadline: Tuesday, February 8, 2022 at 12:00noon",BRIEF DESCRIPTION:The Mellon Mays Undergraduate Fellowship Program (MMUF) of Harvard College selects a small cohort of sophomores to join a tightly-knit research community to conduct independent research in close collaboration...,https://uraf.harvard.edu/mmuf
Alex G. Booth Fellowship,"Applications due: Thursday, February 24, 2022, 12 noon","BRIEF DESCRIPTION:The Booth Fellowship helps to defray the cost of travel and associate project expenses for an experience related to an intellectual field of interest. Eligible projects may be academic in nature (enrollment in an academic program or research) or may allow for learning in a less academic setting (an internship, service project, or travel experience). Proposals may be for any length of time up to 12 months, in any location domestic or international, within GSS guidelines.Please note: these opportunities are subject to the Harvard travel regulations and may need to be altered according to current travel guidance.... Read more  about Alex G. Booth Fellowship",https://uraf.harvard.edu/uraf-opportunities/booth-fellowship
Churchill Scholarship,"Applications due: Wednesday, September 22, 2021, 12 noon","BRIEF DESCRIPTION:Churchill Scholarships provide funding toward a year of postgraduate study and research in the natural sciences, engineering, or mathematics at Churchill College, Cambridge. ... Read more  about Churchill Scholarship",https://uraf.harvard.edu/uraf-opportunities/churchill-scholarship
"Fulbright Program (ETA, Research, NatGeo)","Draft Statement of Purpose due by email to fellowships@fas: Monday, August 16, 2021Applications due: Wednesday, September 1,  2021, 12 noon","BRIEF DESCRIPTION:The Fulbright U.S. Student Program is the largest U.S. exchange program offering opportunities for students and young professionals to undertake international graduate study, advanced research, university teaching, and primary and secondary school teaching worldwide.... Read more  about Fulbright Program (ETA, Research, NatGeo)",https://uraf.harvard.edu/uraf-opportunities/fulbright-program
Gaither Fellowship at Carnegie Endowment,"Applications due: Wednesday, November 17, 2021, 12 noon",BRIEF DESCRIPTION:Each year the Carnegie Endowment for International Peace offers 10-12 one-year fellowships to uniquely qualified graduating seniors and individuals who have graduated during the past academic year. ... Read more  about Gaither Fellowship at Carnegie Endowment,https://uraf.harvard.edu/uraf-opportunities/gaither-fellowship
Harvard-Cambridge Scholarship,"Applications due: Tuesday, November 30, 2021, 12 noon","GENERAL INFORMATION:The Harvard-Cambridge Scholarship program comprises four separate scholarships, each providing for one year of study at Cambridge University... Read more  about Harvard-Cambridge Scholarship",https://uraf.harvard.edu/uraf-opportunities/harvard-cambridge-scholarship
Harvard-UK Fellowship,"Applications due: Wednesday, December 1, 2021, 12 noon","GENERAL INFORMATION:The Harvard-UK Fellowship comprises 5 separate scholarships, listed below. Applicants may only submit one application for one plan of study. Applicants will be considered for all applicable funds.... Read more  about Harvard-UK Fellowship",https://uraf.harvard.edu/uraf-opportunities/harvard-uk-fellowship
Herchel Smith Fellowship in Science,"Applications due: Thursday, December 2, 2022, 12 noon",BRIEF DESCRIPTION:Herchel Smith fellowships aim to encourage Harvard graduates of high academic ability and research promise in the sciences to study at Cambridge University. Fellowships are held at Emmanuel College.... Read more  about Herchel Smith Fellowship in Science,https://uraf.harvard.edu/uraf-opportunities/herchel-smith-postgrad-fellowship
Marshall Scholarship,"Endorsement Applications due: Thursday, August 12, 2021, 12 noon",GENERAL INFORMATION:Marshall Scholarships finance young Americans of high ability to study for a degree in the United Kingdom.... Read more  about Marshall Scholarship,https://uraf.harvard.edu/uraf-opportunities/marshall-scholarship
Mitchell Scholarship,"Endorsement Application due: Thursday, August 12, 2021, 12 noon","BRIEF DESCRIPTION:The Mitchell Scholars Program, named to honor former US Senator George Mitchell's pivotal contribution to the Irish peace process, is designed to introduce and connect generations of future American leaders to the island of Ireland, while recognizing and fostering intellectual achievement, leadership, and a commitment to community and public service. Up to twelve Mitchell Scholars between the ages of 18 and 30 are chosen annually for one year of postgraduate study in any discipline offered by institutions of higher learning in Ireland.... Read more  about Mitchell Scholarship",https://uraf.harvard.edu/uraf-opportunities/mitchell-scholarship
Rhodes Scholarship,"US and Canada Endorsement Applications due: Thursday, August 12, 2021 at 12 noon*Deadlines vary by country, check with URAF","BRIEF DESCRIPTION:Rhodes Scholarships are given annually to students who demonstrate promise in scholarship, character, and leadership. The Scholarship provides for tuition and a stipend for two to three years of study at Oxford University.... Read more  about Rhodes Scholarship",https://uraf.harvard.edu/uraf-opportunities/rhodes-scholarship
St. Andrew's Society Scholarship,"Applications due: Tuesday, November 2, 2021, 12 noon",BRIEF DESCRIPTION:The Society provides funding for two Scottish graduate students to study in the US and two Scottish-American students to study in Scotland.... Read more  about St. Andrew's Society Scholarship,https://uraf.harvard.edu/uraf-opportunities/st-andrews-society-scholarship
William Lyon Mackenzie King Scholarship,"Applications due: Thursday, January 27, 2022, 12 noon","GENERAL INFORMATION:The Right Honourable William Lyon Mackenzie King Scholarship is a fellowship which supports one year of study at a Canadian university. Preference will be given to candidates pursuing study that relates to Canada or Canadian interests. Programs may not, however, be pre-professional in nature.... Read more  about William Lyon Mackenzie King Scholarship",https://uraf.harvard.edu/uraf-opportunities/mackenzie-king-scholarship
Yenching Academy Scholarship at Peking University,"Application due: Friday, November 5, 2021, 12 noon","BRIEF DESCRIPTION:The Yenching Academy offers a one- or two-year Master of Arts in China Studies degree program. The intensive program consists of interdisciplinary classroom and field study of Chinese history and culture, as well as real-time issues in China’s development.... Read more  about Yenching Academy Scholarship at Peking University",https://uraf.harvard.edu/uraf-opportunities/yenching-academy-scholarship
Yun Family Research Fellows Fund for Revolutionary Thinking,"AY22 Application Deadline: Monday, November 22, 2021 at 12:00 noon",... Read more  about Yun Family Research Fellows Fund for Revolutionary Thinking,https://uraf.harvard.edu/uraf-opportunities/yun-family-fund
Herchel Smith Undergraduate Science Research Program,"Tuesday, February 8, 2022 at 12:00 noon (EST)","GENERAL INFORMATION:Herchel Smith is a competitive and generous award supporting high-potential undergraduates who are conducting a promising summer research project in mathematics, engineering, life, physical/natural or computer sciences.... Read more  about Herchel Smith Undergraduate Science Research Program",https://uraf.harvard.edu/uraf-opportunities/herchel-smith-summer-fellowship
Harvard-Amgen Scholars Program,"Application due: Tuesday, February 1, 2022, 12 noon",BRIEF DESCRIPTION:The Amgen Scholars Program at Harvard is a 10-week faculty-mentored residential summer research program for undergraduates in biotechnology.,https://uraf.harvard.edu/amgen-scholars
Program for Research in Science and Engineering (PRISE),"Tuesday, February 15, 2022 at 12:00 noon (EST)","BRIEF DESCRIPTION:The Program for Research in Science and Engineering (PRISE) is a 10-week summer program that aims to build community and stimulate creativity among Harvard undergraduate researchers in the life, physical/natural, engineering and applied sciences.... Read more  about Program for Research in Science and Engineering (PRISE)",https://uraf.harvard.edu/uraf-opportunities/prise
Summer Program for Undergraduates in Data Science (SPUDS),"Tuesday, February 15, 2022 at 12:00 noon (EST)","BRIEF DESCRIPTION:The Summer Program for Undergraduates in Data Science (SPUDS) is a ten-week summer program, co-sponsored by Harvard College and the Harvard Data Science Initiative (HDSI), that aims to provide a formative and substantive data science research experience and to promote community, creativity, and scholarship amongst Harvard College students.... Read more  about Summer Program for Undergraduates in Data Science (SPUDS)",https://uraf.harvard.edu/uraf-opportunities/spuds
RESEARCH OPPUTUNITY,DEADLINE,DESCRIPTION,READ MORE
Harvard-Amgen Scholars Program,Academic Year 2022-23 Deadline TBA,BRIEF DESCRIPTION:The Amgen Scholars Program at Harvard is a 10-week faculty-mentored residential summer research program for undergraduates in biotechnology.,https://uraf.harvard.edu/amgen-scholars
Mellon Mays Undergraduate Fellowship,Academic Year 2022-23 Deadline TBA,BRIEF DESCRIPTION:The Mellon Mays Undergraduate Fellowship Program (MMUF) of Harvard College selects a small cohort of sophomores to join a tightly-knit research community to conduct independent research in close collaboration with a faculty...,https://uraf.harvard.edu/mmuf
Program for Research in Markets and Organizations (PRIMO),Academic Year 2022-23 Deadline TBA,BRIEF DESCRIPTION:The Program for Research in Markets and Organizations (PRIMO) is a 10-week summer program that aims to build community and stimulate creativity among Harvard undergraduate researchers in business and related fields.... Read more  about Program for Research in Markets and Organizations (PRIMO),https://uraf.harvard.edu/uraf-opportunities/primo
Alex G. Booth Fellowship,"Applications due: Thursday, February 23, 2023 at 11:59pm via CARAT","BRIEF DESCRIPTION:The Booth Fellowship helps to defray the cost of travel and associate project expenses for an experience related to an intellectual field of interest. Eligible projects may be academic in nature (enrollment in an academic program or research) or may allow for learning in a less academic setting (an internship, service project, or travel experience). Proposals may be for any length of time up to 12 months, in any location domestic or international, within GSS guidelines.Please note: these opportunities are subject to the Harvard travel regulations and may need to be altered according to current travel guidance.... Read more  about Alex G. Booth Fellowship",https://uraf.harvard.edu/uraf-opportunities/booth-fellowship
Build Learning through Inquiry in the Social Sciences (BLISS),Academic Year 2022-23 Deadline TBA,"BRIEF DESCRIPTION:BLISS is a 10-week summer residential program for Harvard undergraduates, designed to provide a formative and substantive social science research experience and to promote community, creativity, and scholarship.... Read more  about Build Learning through Inquiry in the Social Sciences (BLISS)",https://uraf.harvard.edu/uraf-opportunities/bliss
Churchill Scholarship,"Applications due: Wednesday, September 21, 2022 at 11:59pm via CARAT","BRIEF DESCRIPTION:Churchill Scholarships provide funding toward a year of postgraduate study and research in the natural sciences, engineering, or mathematics at Churchill College, Cambridge. ... Read more  about Churchill Scholarship",https://uraf.harvard.edu/uraf-opportunities/churchill-scholarship
Eben Fiske Studentship,Not accepting applications in AY23.,"BRIEF DESCRIPTION:The Eben Fiske Studentship, established by the bequest of the Reverend Eben Fiske (Trinity ’35), enables a member of the Harvard College graduating class to undertake postgraduate study in Trinity College at the University of Cambridge. There is no subject restriction. Preference will be given to students intending to proceed to the Ph.D. degree.... Read more  about Eben Fiske Studentship",https://uraf.harvard.edu/uraf-opportunities/eben-fiske-studentship
"Fulbright Program (ETA, Research, NatGeo)","Draft Statement of Purpose: Monday, August 15, 2022 at 11:59pm via CARATApplications due: Thursday, September 1, 2022 at 11:59pm via Fulbright website","BRIEF DESCRIPTION:The Fulbright U.S. Student Program is the largest U.S. exchange program offering opportunities for students and young professionals to undertake international graduate study, advanced research, university teaching, and primary and secondary school teaching worldwide.... Read more  about Fulbright Program (ETA, Research, NatGeo)",https://uraf.harvard.edu/uraf-opportunities/fulbright-program
Gaither Fellowship at Carnegie Endowment,"Applications due: Wednesday, November 16, 2022 at 11:59pm via CARAT",BRIEF DESCRIPTION:Each year the Carnegie Endowment for International Peace offers 10-12 one-year fellowships to uniquely qualified graduating seniors and individuals who have graduated during the past academic year. ... Read more  about Gaither Fellowship at Carnegie Endowment,https://uraf.harvard.edu/uraf-opportunities/gaither-fellowship
Harvard-Cambridge Scholarship,"Applications due: Tuesday, November 29, 2022 at 11:59pm via CARAT","GENERAL INFORMATION:The Harvard-Cambridge Scholarship program comprises four separate scholarships, each providing for one year of study at Cambridge University... Read more  about Harvard-Cambridge Scholarship",https://uraf.harvard.edu/uraf-opportunities/harvard-cambridge-scholarship
Harvard-Cambridge Summer Fellowship,"Updated, 2/14/22: Not accepting applications in AY22.",BRIEF DESCRIPTION:The Harvard-Cambridge Scholarship Committee offers 8 to 12 summer scholarships to undergraduates for supervised research or study at Cambridge University.... Read more  about Harvard-Cambridge Summer Fellowship,https://uraf.harvard.edu/uraf-opportunities/harvard-cambridge-summer-fellowship
Harvard-UK Fellowship,"Applications due: Thursday, December 1, 2022 at 11:59pm via CARAT","GENERAL INFORMATION:The Harvard-UK Fellowship comprises 5 separate scholarships, listed below. Applicants may only submit one application for one plan of study. Applicants will be considered for all applicable funds.... Read more  about Harvard-UK Fellowship",https://uraf.harvard.edu/uraf-opportunities/harvard-uk-fellowship
Harvard College Research Program (HCRP),"Applications due: Thursday, December 1, 2022 at 11:59pm via CARAT","BRIEF DESCRIPTIONThe Harvard College Research Program (HCRP) provides funding in support of student-initiated, independent scholarly research or creative endeavors undertaken with guidance of a Harvard-affiliated faculty mentor.... Read more  about Harvard College Research Program (HCRP)",https://uraf.harvard.edu/uraf-opportunities/hcrp
Harvard College-Mindich Program in Community-Engaged Research (PCER),Application deadline: Academic Year 2022-23 Deadline TBA,BRIEF DESCRIPTION:The Harvard College-Mindich Program in Community-Engaged Research (PCER) is a 10-week immersive experience focused on community-engaged inquiry projects.... Read more  about Harvard College-Mindich Program in Community-Engaged Research (PCER),https://uraf.harvard.edu/uraf-opportunities/pcer
Harvard College-Mindich Independent Research and Community Engagement (RCE),Application Deadline: Academic Year 2022-23 Deadline TBA,BRIEF DESCRIPTION:The Harvard College-Mindich Independent Research and Community Engagement (RCE) award provides funding in support of undergraduates who are conducting an independent summer project that combines community-engaged service with student-initiated scholarly research. ... Read more  about Harvard College-Mindich Independent Research and Community Engagement (RCE),https://uraf.harvard.edu/uraf-opportunities/rce
Herchel Smith Fellowship in Science,"Applications due: Sunday, December 4, 2022 at 11:59pm via CARAT",BRIEF DESCRIPTION:Herchel Smith fellowships aim to encourage Harvard graduates of high academic ability and research promise in the sciences to study at Cambridge University. Fellowships are held at Emmanuel College.... Read more  about Herchel Smith Fellowship in Science,https://uraf.harvard.edu/uraf-opportunities/herchel-smith-postgrad-fellowship
Herchel Smith Undergraduate Science Research Program,Application deadline: Academic Year 2022-23 Deadline TBA,"GENERAL INFORMATION:Herchel Smith is a competitive and generous award supporting high-potential undergraduates who are conducting a promising summer research project in mathematics, engineering, life, physical/natural or computer sciences.... Read more  about Herchel Smith Undergraduate Science Research Program",https://uraf.harvard.edu/uraf-opportunities/herchel-smith-summer-fellowship
Keasbey Scholarship,Academic Year 2022-23 Deadline TBA,"BRIEF DESCRIPTION:Keasbey Scholarships provide one or two years of full funding, including tuition, fees and living expenses, either to read for a second undergraduate degree or to attend a graduate program at one of the universities with which the Keasbey Foundation is affiliated.... Read more  about Keasbey Scholarship",https://uraf.harvard.edu/uraf-opportunities/keasbey-scholarship
Marshall Scholarship,"Endorsement Applications due: Wednesday, August 10, 2022 at 11:59pm via CARAT",GENERAL INFORMATION:Marshall Scholarships finance young Americans of high ability to study for a degree in the United Kingdom.... Read more  about Marshall Scholarship,https://uraf.harvard.edu/uraf-opportunities/marshall-scholarship
Mitchell Scholarship,"Endorsement Application due: Wednesday, August 10, 2022 at 11:59pm via CARAT","BRIEF DESCRIPTION:The Mitchell Scholars Program, named to honor former US Senator George Mitchell's pivotal contribution to the Irish peace process, is designed to introduce and connect generations of future American leaders to the island of Ireland, while recognizing and fostering intellectual achievement, leadership, and a commitment to community and public service. Up to twelve Mitchell Scholars between the ages of 18 and 30 are chosen annually for one year of postgraduate study in any discipline offered by institutions of higher learning in Ireland.... Read more  about Mitchell Scholarship",https://uraf.harvard.edu/uraf-opportunities/mitchell-scholarship
